speech_sequence_idx,speech_sequence_path,speaker_id,text_embedding_idx,text,audio_event_idx,audio_file_path,audio_start_time,audio_stop_time,audio_sample_rate,audio_start_sample,audio_stop_sample,n_audio_samples,speech_frame_start,speech_frame_stop,speech_frame_count,speech_feature_dim
0,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,16,1,17,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.192000,1.255000,12000,14304,15060,756,0,2,2,1024
1,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,17,我六岁那年，,18,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.265000,1.571000,12000,15180,18852,3672,2,17,15,1024
2,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,18,在一本描写原始森林的名叫《真实的故事》的书上，,19,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,1.583000,2.821000,12000,18996,33852,14856,17,78,61,1024
3,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,19,看见过一幅精彩的插图，,20,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,2.841000,3.446000,12000,34092,41352,7260,78,108,30,1024
4,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,20,画的是一条蟒蛇在吞吃一头猛兽。,21,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,3.457000,4.321000,12000,41484,51852,10368,108,150,42,1024
5,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,21,我现在把它照样画在上面。,22,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,4.330000,5.008000,12000,51960,60096,8136,150,183,33,1024
6,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,22,书中写道：,23,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.017000,5.258000,12000,60204,63096,2892,183,194,11,1024
7,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,23,“蟒蛇把猎物囫囵吞下，,24,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.265000,5.821000,12000,63180,69852,6672,194,221,27,1024
8,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,24,嚼都不嚼。,25,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,5.829000,6.071000,12000,69948,72852,2904,221,232,11,1024
9,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,25,然后它就无法动弹，,26,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,6.079000,6.571000,12000,72948,78852,5904,232,256,24,1024
10,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,26,躺上六个月来消化它们。”,27,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,6.578000,7.196000,12000,78936,86352,7416,256,286,30,1024
11,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,27,当时，,28,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,7.206000,7.321000,12000,86472,87852,1380,286,291,5,1024
12,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,28,我对丛林里的奇妙景象想得很多，,29,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,7.332000,8.196000,12000,87984,98352,10368,291,333,42,1024
13,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,29,于是我也用彩色铅笔画了我的第一幅画：,30,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,8.207000,9.259000,12000,98484,111108,12624,333,385,52,1024
14,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,30,我的作品一号。,31,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.267000,9.634000,12000,111204,115608,4404,385,403,18,1024
15,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,31,它就像这样：,32,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.640000,9.946000,12000,115680,119352,3672,403,418,15,1024
16,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,32,我把这幅杰作给大人看，,33,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.954000,10.571000,12000,119448,126852,7404,418,448,30,1024
17,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,33,问他们我的图画吓不吓人。,34,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,10.579000,11.258000,12000,126948,135096,8148,448,481,33,1024
18,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,34,他们回答说：,35,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,11.270000,11.571000,12000,135240,138852,3612,481,495,14,1024
19,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,35,“一顶帽子怎么会吓人呢？”,36,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,11.578000,12.196000,12000,138936,146352,7416,495,525,30,1024
20,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,36,我画的不是一顶帽子。,37,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,12.206000,12.758000,12000,146472,153096,6624,525,552,27,1024
21,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_sequence_frames.npy,littleprince_f1,37,我画的是一条蟒蛇在消化大象。,38,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,12.769000,13.571000,12000,153228,162852,9624,552,591,39,1024
